"","year","location","count"
"1",1999,"Oakland, CA",14
"2",1999,"MA",12
"3",1999,"San Francisco, CA",8
"4",1999,"Los Angeles, CA",5
"5",1999,"New York, NY",5
"6",2000,"San Francisco, CA",31
"7",2000,"Los Angeles, CA",23
"8",2000,"Providence, RI",22
"9",2000,"New York, NY",18
"10",2000,"Chicago, Il",16
"11",2001,"New York, NY",27
"12",2001,"San Francisco, CA",27
"13",2001,"Los Angeles, CA",24
"14",2001,"Seattle, WA",16
"15",2001,"Chicago, Il",14
"16",2002,"New York, NY",28
"17",2002,"Los Angeles, CA",22
"18",2002,"San Francisco, CA",22
"19",2002,"Seattle, WA",20
"20",2002,"Houston, TX",14
"21",2003,"Los Angeles, CA",12
"22",2003,"New York, NY",12
"23",2003,"San Francisco, CA",10
"24",2003,"Miami, FL",7
"25",2003,"West Palm Beach, FL",7
"26",2004,"Los Angeles, CA",17
"27",2004,"San Francisco, CA",10
"28",2004,"Fremont, CA",7
"29",2004,"New York, NY",7
"30",2004,"Austin, TX",5
"31",2004,"Phoenix, AZ",5
"32",2005,"Los Angeles, CA",13
"33",2005,"Miami, FL",9
"34",2005,"Seattle, WA",8
"35",2005,"Austin, TX",5
"36",2005,"New York, NY",5
"37",2005,"Phoenix, AZ",5
"38",2005,"San Francisco, CA",5
"39",2006,"Los Angeles, CA",4
"40",2006,"New York, NY",4
"41",2006,"Thessalonika, Greece",4
"42",2006,"Fort Lauderdale, FL",3
"43",2006,"KY",2
"44",2006,"Miami, FL",2
"45",2006,"Oakland, CA",2
"46",2006,"San Mateo, CA",2
"47",2007,"Houston, TX",10
"48",2007,"Blaine, WA",5
"49",2007,"Los Angeles, CA",5
"50",2007,"San Francisco, CA",3
"51",2007,"Albany, NY",2
"52",2007,"Boston, MA",2
"53",2007,"Dallas, TX",2
"54",2007,"Huntington Beach, CA",2
"55",2007,"Miami, FL",2
"56",2007,"San Diego, CA",2
"57",2007,"Santa Clara, CA",2
"58",2007,"Seattle, WA",2
"59",2007,"West Columbia, MD",2
"60",2007,"Winona County, MN",2
"61",2008,"Los Angeles, CA",6
"62",2008,"Portland, OR",5
"63",2008,"CA",4
"64",2008,"Tulsa, OK",4
"65",2008,"Detroit, MI",2
"66",2008,"Key West, FL",2
"67",2008,"Lima, PA",2
"68",2008,"New York, NY",2
"69",2009,"Zurich, Switzerland",30
"70",2009,"Vista, CA",14
"71",2009,"Lincoln Parish, LA",8
"72",2009,"Boise, ID",6
"73",2009,"Las Vegas, NV",6
"74",2009,"Los Angeles, CA",6
"75",2010,"Zurich, Switzerland",18
"76",2010,"Los Angeles, CA",9
"77",2010,"Madison, WI",6
"78",2010,"San Francisco, CA",6
"79",2010,"New York, NY",5
"80",2011,"Zurich, Switzerland",27
"81",2011,"Baton Rouge, LA",21
"82",2011,"Los Angeles, CA",12
"83",2011,"New York, NY",9
"84",2011,"Brisbane, CA",8
"85",2012,"Zurich, Switzerland",56
"86",2012,"San Francisco, CA",11
"87",2012,"Los Angeles, CA",10
"88",2012,"Miami, FL",10
"89",2012,"Baton Rouge, LA",9
"90",2013,"Spain",56
"91",2013,"San Francisco, CA",23
"92",2013,"New York, NY",17
"93",2013,"Los Angeles, CA",14
"94",2013,"Las Vegas, NV",7
"95",2014,"San Francisco, CA",23
"96",2014,"New York, NY",19
"97",2014,"Los Angeles, CA",18
"98",2014,"Las Vegas, NV",13
"99",2014,"Sacramento, CA",11
