"id","composition","proportion","name","location","mass","year"
"73","MDMA ","1","[unspecified]","HI","-",1999
"74","DXM ","1","Lucky Charm","New York, NY","-",1999
"75","DXM ","1","Snowball","Los Angeles, CA","-",1999
"76","DXM ","1","Be gelcap","San Francisco, CA","-",1999
"77","Pseudo/Ephedrine ","2","X","San Francisco, CA","-",1999
"77","DXM ","1","X","San Francisco, CA","-",1999
"78","Acetaminophen ","1","E","New York, NY","-",1999
"78","Aspirin ","1","E","New York, NY","-",1999
"78","Caffeine ","1","E","New York, NY","-",1999
"78","Methyl Salicylate ","1","E","New York, NY","-",1999
"79","MDMA ","1","Mitsubishi Turbo","Boston, MA","-",1999
"80","DXM ","1","Smurf","State College, PA","-",1999
"81","MDMA ","1","Buddha","West Palm Beach, FL","-",1999
"82","DXM ","1","Clover","State College, PA","-",1999
"83","MDMA ","1","Mitsubishi","Denver, CO","-",1999
"84","MDMA ","1","White Wafer","San Diego, CA","-",1999
"85","MDMA ","1","Shamrock","San Diego, CA","-",1999
"86","MDMA ","1","Rolls Royce","Los Vegas, NV","-",1999
"87","MDMA ","19","Red Star","Oakland, CA","-",1999
"87","MDA ","1","Red Star","Oakland, CA","-",1999
"93","MDMA ","1","Superman","MA","-",1999
"94","MDMA ","1","Pornstar","MA","-",1999
"95","MDMA ","1","Dolphin","MA","-",1999
"96","MDA ","1","Armani","MA","-",1999
"97","MDMA ","3","Audi","MA","-",1999
"97","Caffeine ","1","Audi","MA","-",1999
"98","MDMA ","1","Dove","MA","-",1999
"99","MDMA ","1","Mercedes","MA","-",1999
"100","MDMA ","1","Euro","MA","-",1999
"101","MDMA ","9","RN","MA","-",1999
"101","Caffeine ","1","RN","MA","-",1999
"102","MDMA ","1","Hurricane","MA","-",1999
"103","MDMA ","1","Playboy","MA","-",1999
"104","MDA ","1","Nighttime","MA","-",1999
"581","MDMA ","1","Tweetie","New York, NY","-",1999
"88","Pseudo/Ephedrine ","2","[unspecified]","Oakland, CA","-",1999
"88","Chlorpheniramine ","1","[unspecified]","Oakland, CA","-",1999
"89","None Detected ","1","[unspecified]","Oakland, CA","-",1999
"90","Pseudo/Ephedrine ","2","Cross Top","Oakland, CA","-",1999
"90","DXM ","1","Cross Top","Oakland, CA","-",1999
"91","None Detected ","1","[unspecified]","Oakland, CA","-",1999
